Temperature,Humidity,Value,Opponent,Country,StatsName,FullName,Temperature_zscore,Humidity_zscore,Average_zscore
19,76,28.0,North Macedonia,Austria,Passes completed,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,64.0,North Macedonia,Austria,Passes accuracy,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,10843.0,North Macedonia,Austria,Distance covered (m),Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,4352.0,North Macedonia,Austria,Distance covered in possession (m),Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,31.7,North Macedonia,Austria,Top Speed (Km/h),Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Own-goals,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals conceded,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Total Attempts,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts on target,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts off target,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Corners,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Offsides,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Saves,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Tackles won,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Clearances,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,10.0,North Macedonia,Austria,Recovered balls,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,3.0,North Macedonia,Austria,Fouls committed,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Yellow cards,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Red cards,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,63.0,North Macedonia,Austria,Passes completed,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,84.0,North Macedonia,Austria,Passes accuracy,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,9477.0,North Macedonia,Austria,Distance covered (m),Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,4008.0,North Macedonia,Austria,Distance covered in possession (m),Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,25.2,North Macedonia,Austria,Top Speed (Km/h),Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Own-goals,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals conceded,Martin Hinteregger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Goals,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,2.0,North Macedonia,Austria,Total Attempts,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,2.0,North Macedonia,Austria,Attempts on target,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts off target,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Corners,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Offsides,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Saves,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Tackles won,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Clearances,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Recovered balls,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Fouls committed,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Yellow cards,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Red cards,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,7.0,North Macedonia,Austria,Passes completed,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,100.0,North Macedonia,Austria,Passes accuracy,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,4321.0,North Macedonia,Austria,Distance covered (m),Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1725.0,North Macedonia,Austria,Distance covered in possession (m),Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,28.8,North Macedonia,Austria,Top Speed (Km/h),Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Own-goals,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals conceded,Michael Gregoritsch,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,2.0,North Macedonia,Austria,Total Attempts,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts on target,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Attempts off target,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Corners,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Offsides,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Saves,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Tackles won,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Clearances,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,6.0,North Macedonia,Austria,Recovered balls,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,2.0,North Macedonia,Austria,Fouls committed,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Yellow cards,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Red cards,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,60.0,North Macedonia,Austria,Passes completed,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,88.0,North Macedonia,Austria,Passes accuracy,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,11114.0,North Macedonia,Austria,Distance covered (m),Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,4772.0,North Macedonia,Austria,Distance covered in possession (m),Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,29.0,North Macedonia,Austria,Top Speed (Km/h),Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Own-goals,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals conceded,Marcel Sabitzer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Total Attempts,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts on target,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts off target,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Corners,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Offsides,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Saves,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
